"Materialnummer","Vorgangsfolge","Anzahl"
747,"0010",6
748,"0010",6
749,"0010",6
750,"0010",1
751,"0010",3
752,"0010",7
753,"0010",9
754,"0010",179
755,"0010",2
756,"0010",4
757,"0010",4
758,"0010",27
759,"0010",4
760,"0010",3
761,"0010",7
762,"0010",4
763,"0010",5
764,"0010",3
765,"0010",6
766,"0010",4
767,"0010",4
768,"0010",8
769,"0010",5
770,"0010",56
771,"0010",14
772,"0010",14
773,"0010",51
774,"0010",191
775,"0010",5
776,"0010",52
777,"0010",526
778,"0010",177
779,"0010",304
780,"0010",96
781,"0010",55
782,"0010",134
783,"0010",2
784,"0010",131
785,"0010",9
786,"0010",1
787,"0010",8
788,"0010",577
789,"0010",59
790,"0010",99
791,"0010",4
792,"0010",14
793,"0010",16
794,"0010",7
795,"0010",26
796,"0010",7
797,"0010",9
798,"0010",21
799,"0010",5
800,"0010",1
801,"0010",6
802,"0010",4
803,"0010",8
804,"0010",4
805,"0010",10
806,"0010",4
807,"0010",7
808,"0010",4
809,"0010",7
810,"0010",15
811,"0010",3
812,"0010",7
813,"0010",2
814,"0010",26
815,"0010",3
816,"0010",2
817,"0010",1
818,"0010",1
819,"0010",4
820,"0010",4
821,"0010",19
822,"0010",11
823,"0010",23
824,"0010",13
825,"0010",31
826,"0010",23
827,"0010",17
828,"0010",11
829,"0010",19
830,"0010",8
831,"0010",62
832,"0010",28
833,"0010",27
834,"0010",5
835,"0010",7
836,"0010",4
837,"0010",1
838,"0010",17
839,"0010",13
840,"0010",13
841,"0010",16
842,"0010",14
843,"0010",7
844,"0010",10
845,"0010",8
846,"0010",3
847,"0010",2
848,"0010",7
849,"0010",7
850,"0010",4
851,"0010",14
852,"0010",1
853,"0010",22
854,"0010",2
855,"0010",3
856,"0010",1
857,"0010",130
858,"0010",6
859,"0010",8
860,"0010",3
861,"0010",2
862,"0010",43
863,"0010",3
864,"0010",3
865,"0010",3
866,"0010",16
867,"0010",1
868,"0010",5
869,"0010",4
870,"0010",10
871,"0010",11
872,"0010",4
873,"0010",3
874,"0010",3
875,"0010",18
876,"0010",12
877,"0010",3
878,"0010",1
879,"0010",4
880,"0010",10
881,"0010",10
882,"0010",8
883,"0010",8
884,"0010",18
885,"0010",10
886,"0010",6
887,"0010",4
888,"0010",19
889,"0010",3
890,"0010",17
891,"0010",10
892,"0010",22
893,"0010",2
894,"0010",7
895,"0010",3
896,"0010",8
897,"0010",5
898,"0010",5
899,"0010",2
900,"0010",7
901,"0010",1
902,"0010",4
903,"0010",3
904,"0010",5
905,"0010",1
906,"0010",4
907,"0010",7
908,"0010",1
909,"0010",9
910,"0010",5
911,"0010",8
912,"0010",3
913,"0010",5
914,"0010",23
915,"0010",8
916,"0010",4
917,"0010",17
918,"0010",6
919,"0010",7
920,"0010",7
921,"0010",3
922,"0010",10
923,"0010",3
924,"0010",1
925,"0010",4
926,"0010",27
927,"0010",27
928,"0010",2
929,"0010",6
930,"0010",28
931,"0010",7
932,"0010",4
933,"0010",28
934,"0010",26
935,"0010",22
936,"0010",6
937,"0010",8
938,"0010",21
939,"0010",21
940,"0010 -> 0020",2
941,"0010 -> 0020",2
942,"0010 -> 0020 -> 0030 -> 0040",7
943,"0010",1
944,"0010",4
945,"0010",8
946,"0010",10
947,"0010",1
948,"0010",20
949,"0010",1
950,"0010",10
951,"0010 -> 0020 -> 0030",1
952,"0010 -> 0020 -> 0030",5
953,"0010",2
954,"0010",4
955,"0010",4
956,"0010",1
957,"0010 -> 0020",1
958,"0010 -> 0020",3
959,"0010 -> 0020",3
959,"0010 -> 0020 -> 0030",1
960,"0010 -> 0020",1
961,"0010 -> 0020",1
962,"0010 -> 0020",2
963,"0010 -> 0020",1
964,"0010 -> 0020",1
965,"0010 -> 0020",2
966,"0010 -> 0020",3
967,"0010 -> 0020",6
968,"0010 -> 0020",10
969,"0010 -> 0020",4
970,"0010 -> 0020",6
971,"0010 -> 0020",9
972,"0010 -> 0020",13
973,"0010 -> 0020",1
974,"0010 -> 0020",9
975,"0010",4
976,"0010",2
977,"0010 -> 0020",6
978,"0010",12
979,"0010",1
980,"0010 -> 0020",8
981,"0010",1
982,"0010",1
983,"0010 -> 0020",9
984,"0010",9
985,"0010",2
986,"0010 -> 0020 -> 0030",5
987,"0010 -> 0020 -> 0030",1
988,"0010 -> 0020",5
